Student Number,Challenge 1,Challenge 2,Challenge 3,Challenge 4,Challenge 5,Challenge 6,Challenge 7
1,100,100,0,0,0,0,0
2,100,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,100,100,0,0,0,0
5,100,100,0,0,0,0,0
6,0,0,0,0,0,0,0
7,100,0,0,0,0,0,0
8,0,100,0,100,100,100,0
9,0,100,0,0,0,0,0
10,100,100,0,0,0,0,0
11,100,100,100,0,0,0,0
12,100,100,100,100,0,0,0
